Field,Value
Population,"29,125,600 (2021)[1]"
Growth rate,0.92%
Birth rate,"17.53 births/1,000 population"
Death rate,"5.58 deaths/1,000 population"
Life expectancy,72.4 years
• male,71.66 years
• female,73.17 years
Fertility rate,1.9 children
Infant mortality rate,"25.13 deaths/1,000 live births"
Net migration rate,"-4.21 migrant(s)/1,000 population"
0–14 years,28.41%
15–64 years,65.69%
65 and over,5.90%
Total,0.96 male(s)/female (2022 est.)
At birth,1.06 male(s)/female
Nationality,Nepali
Major ethnic,Khas(39.37%)[2]Chhetri(16.60%)Brahmin(12.18%)Dalit(8.12%)Thakuri(1.61%)Dashnami(0.86%)
Minor ethnic,Janajatis (30.81%)Hill (22.28%)Terai(8.53%)Madheshi(23.43%)Newars(5.50%)Other groups (0.32%)Unknown (1.07%)
Official,Nepali
